dataset,sparsity,explainer_name,hard_mask,num_test,f1_score,recall,precision,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn4,0.99,pgmexplainer,True,100.0,0.7758319327731092,1.0,0.6381709956709956,1.0,0.04,0.9630339741706848,0.01143384538590908,0.9905784726142883,18.24,3.9743,1936.0,0.985578512396694,27.92
syn4,0.99,random,False,100.0,0.0096,0.02,0.00631578947368421,0.08,1.0,0.06443878263235092,0.9630515575408936,0.9901859164237976,19.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.99,random,True,100.0,0.0096,0.02,0.00631578947368421,0.08,1.0,0.0648563876748085,0.9630515575408936,0.9901859164237976,19.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.99,sa,False,100.0,0.3759042827657379,0.5366666666666666,0.2896293706293706,0.73,1.0,0.7099449634552002,0.8933454155921936,0.9901859164237976,19.0,0.0028,1936.0,0.0013946280991735383,1933.3
syn4,0.99,sa,True,100.0,0.3759042827657379,0.5366666666666666,0.2896293706293706,0.73,0.71,0.7099764943122864,0.6626020073890686,0.9901859164237976,19.0,0.0031,1936.0,0.0013946280991735383,1933.3
syn4,0.99,subgraphx,False,100.0,0.7225454545454545,0.615,0.88,1.0,1.0,0.9630500674247742,0.9601261615753174,0.9956094622612,8.5,0.2882,1936.0,0.9956095041322329,8.5
syn4,0.99,subgraphx,True,100.0,0.7225454545454545,0.615,0.88,1.0,1.0,0.9630500674247742,0.9601261615753174,0.9956094622612,8.5,0.2436,1936.0,0.9956095041322329,8.5
syn4,0.997,distance,False,100.0,0.6560404040404041,0.5283333333333333,0.8833333333333334,0.91,1.0,0.8600114583969116,0.9630995988845825,0.9974172115325928,5.0,0.0077,1936.0,0.004721074380165288,1926.86
syn4,0.997,distance,True,100.0,0.6560404040404041,0.5283333333333333,0.8833333333333334,0.99,1.0,0.9460480213165283,0.7913399338722229,0.9974172115325928,5.0,0.0127,1936.0,0.004721074380165288,1926.86
syn4,0.997,gnnexplainer,False,100.0,0.5641212121212121,0.485,0.6829999999999999,0.88,1.0,0.8069343566894531,0.9629829525947571,0.9974172115325928,5.0,2.6286,1936.0,0.990082644628099,19.2
syn4,0.997,gnnexplainer,True,100.0,0.5579595959595959,0.48499999999999993,0.6651666666666664,0.89,1.0,0.8391034007072449,0.9629082679748535,0.9974172115325928,5.0,2.6367,1936.0,0.990082644628099,19.2
syn4,0.997,ig,False,100.0,0.6177777777777778,0.4633333333333334,0.9266666666666667,1.0,0.96,0.9623109698295593,0.7670789957046509,0.9974172115325928,5.0,0.1769,1936.0,0.985578512396694,27.92
syn4,0.997,ig,True,100.0,0.6177777777777778,0.4633333333333334,0.9266666666666667,1.0,1.0,0.9624181985855103,0.7909494042396545,0.9974172115325928,5.0,0.1667,1936.0,0.985578512396694,27.92
syn4,0.997,occlusion,False,100.0,0.6826060606060607,0.5483333333333333,0.9194999999999999,0.98,1.0,0.9431595802307129,0.959098756313324,0.9974172115325928,5.0,0.0633,1936.0,0.001120867768595013,1933.83
syn4,0.997,occlusion,True,100.0,0.6826060606060607,0.5483333333333333,0.9194999999999999,1.0,1.0,0.962809145450592,0.9629331231117249,0.9974172115325928,5.0,0.0795,1936.0,0.001120867768595013,1933.83
syn4,0.997,pagerank,False,100.0,0.6177777777777778,0.4633333333333334,0.9266666666666667,1.0,1.0,0.9628131985664368,0.7612672448158264,0.9974172115325928,5.0,0.0161,1936.0,0.0012499999999999833,1933.58
syn4,0.997,pagerank,True,100.0,0.6177777777777778,0.4633333333333334,0.9266666666666667,1.0,1.0,0.9628291130065918,0.780485212802887,0.9974172115325928,5.0,0.0159,1936.0,0.0012499999999999833,1933.58
syn4,0.997,pgmexplainer,False,100.0,0.6457777777777778,0.485,0.9666666666666666,0.92,1.0,0.8819811344146729,0.8994028568267822,0.9974172115325928,5.0,6.3517,1936.0,0.985578512396694,27.92
syn4,0.997,pgmexplainer,True,100.0,0.6457777777777778,0.485,0.9666666666666666,0.92,1.0,0.8819809556007385,0.8994029760360718,0.9974172115325928,5.0,6.1061,1936.0,0.985578512396694,27.92
