dataset,topk,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn3,500,subgraphx,100.0,1.0,0.7153553146603625,0.6099999999999999,0.9176751026751027,-1.0,0.0,0.0,0.01661108061671257,-0.0036949641071259975,0.9949055314064026,25.88,1.2942,5080.0,0.9768740157480325,15.88
syn4,10,distance,100.0,1.0,0.7416333666333667,0.785,0.7063571428571429,0.8145099185724186,1.0,1.0,0.9842730164527893,0.9476171135902405,0.994834840297699,10.0,0.0102,1936.0,0.004979338842975205,1926.36
syn4,10,gnnexplainer,100.0,1.0,0.7208369963369964,0.7966666666666665,0.6634007936507936,0.7762188149688148,0.94,0.95,0.9226967692375183,0.9072723388671875,0.994834840297699,10.0,2.5713,1936.0,0.9898863636363642,19.58
syn4,10,ig_node,100.0,1.0,0.7886363636363637,0.7433333333333334,0.8430000000000001,0.8552035689535689,1.0,0.76,0.9839996099472046,0.7394529581069946,0.994834840297699,10.0,0.1508,1936.0,0.35747933884297495,1243.92
syn4,10,occlusion,100.0,1.0,0.5655054945054944,0.6416666666666667,0.5085476190476189,0.720077096327096,0.99,0.83,0.9793539643287659,0.8245094418525696,0.994834840297699,10.0,0.0663,1936.0,0.0010743801652892315,1933.92
syn4,10,pagerank,100.0,1.0,0.7757575757575756,0.715,0.8486666666666668,0.8539310464310464,1.0,0.76,0.9844945669174194,0.7515312433242798,0.994834840297699,10.0,0.0111,1936.0,0.0012086776859503957,1933.66
syn4,10,pgmexplainer,100.0,1.0,0.8754545454545452,0.8033333333333331,0.9620000000000001,0.900765765765766,1.0,0.14,0.9772907495498657,0.18512040376663208,0.994834840297699,10.0,7.245,1936.0,0.985082644628099,28.88
syn4,10,random,100.0,1.0,0.00625,0.008333333333333333,0.005,0.4994943260568261,0.01,1.0,0.014140553772449493,0.9844949841499329,0.994834840297699,10.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,10,sa_node,100.0,1.0,0.128010323010323,0.13166666666666665,0.12523809523809523,0.5638556826056826,0.06,1.0,0.19685649871826172,0.9844945669174194,0.994834840297699,10.0,0.0031,1936.0,0.0013533057851239606,1933.38
syn4,10,subgraphx,100.0,1.0,0.7054545454545452,0.6,0.86,-1.0,1.0,1.0,0.9844945669174194,0.9489234089851379,0.9956300258636475,8.46,0.2659,1936.0,0.9956301652892579,8.46
