index,dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
41,actor,False,True,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714327454566956,6.99365118634887e-05,60913.74,60913.74,10.960461184489214,0.11051127355757114,60913.74,10.960461184489214,0.11051127355757114,0.7322,60918.0,6.993006993007645e-05,60913.74
42,actor,False,True,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.22,0.19939754903316498,0.5101759433746338,0.9801629781723022,1208.43,1208.43,4.587803962792812,0.07715994690729629,1208.43,4.587803962792812,0.07715994690729629,7.9334,60918.0,0.9801630060080769,1208.43
43,actor,False,True,0.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.3976316750049591,0.34694358706474304,39782.89,39782.89,8.61787465864517,0.1094562080542481,39782.89,8.61787465864517,0.1094562080542481,0.0054,60918.0,0.34694359630979393,39782.89
44,actor,False,True,0.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.20115424692630768,0.396004319190979,3.116667357971892e-05,60916.1,60916.1,10.971590174998028,0.1605919220008879,60916.1,10.971590174998028,0.1605919220008879,0.2403,60918.0,3.118946780918841e-05,60916.1
45,actor,False,True,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714333415031433,0.9801629781723022,1208.43,1208.43,5.725024465526722,0.82303940839564,1208.43,5.725024465526722,0.82303940839564,2.7176,60918.0,0.9801630060080769,1208.43
46,actor,False,True,0.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714333415031433,0.7292458415031433,16493.8,16493.8,8.544326611459688,0.001299857828665019,16493.8,8.544326611459688,0.001299857828665019,0.9289,60918.0,0.7292458714993925,16493.8
47,actor,False,True,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.3977096676826477,0.9125052094459534,5330.01,5330.01,7.596861917671471,0.25369616208762863,5330.01,7.596861917671471,0.25369616208762863,32.7902,60918.0,0.9125051708854527,5330.01
48,actor,False,True,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.64,0.19939754903316498,0.4034987688064575,0.0010239994153380394,60855.62,60855.62,10.824148723260675,0.45385437677506885,60855.62,10.824148723260675,0.45385437677506885,0.0005,60918.0,0.0010239994747037007,60855.62
49,actor,False,True,0.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.97,0.66,0.2544742524623871,0.3409445881843567,0.4958478510379791,30711.94,30711.94,9.075839079370974,0.544493180603563,30711.94,9.075839079370974,0.544493180603563,0.023,60918.0,0.49584786105912854,30711.94
50,actor,False,True,0.7,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714333415031433,0.9801629781723022,1208.43,1208.43,5.24511826346948,0.6775965223056265,1208.43,5.24511826346948,0.6775965223056265,3.8492,60918.0,0.9801630060080769,1208.43
51,actor,False,True,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714333415031433,0.7000064849853516,18275.0,60913.74,10.960461184489214,0.11051127355757114,18275.0,9.784677258115162,0.15877757605820106,0.9089,60918.0,6.993006993007645e-05,60913.74
52,actor,False,True,0.7,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.23,0.19939754903316498,0.5085121393203735,0.9801629781723022,1208.43,1208.43,4.561855376966636,0.03768018388795052,1208.43,4.561855376966636,0.03768018388795052,3.9786,60918.0,0.9801630060080769,1208.43
53,actor,False,True,0.7,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.97,0.57,0.20805500447750092,0.4144379794597626,0.8019371628761292,12065.59,39782.89,8.61787465864517,0.1094562080542481,12065.59,7.827125756858407,0.11275533180252753,0.0052,60918.0,0.34694359630979393,39782.89
54,actor,False,True,0.7,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.62,0.22840233147144318,0.39855125546455383,0.7000064849853516,18275.0,60916.1,10.971590175366323,0.16059192196235195,18275.0,9.756515709835277,0.1659644477453423,0.3946,60918.0,3.118946780918841e-05,60916.1
55,actor,False,True,0.7,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714333415031433,0.9801629781723022,1208.43,1208.43,5.725024465526722,0.82303940839564,1208.43,5.725024465526722,0.82303940839564,2.6859,60918.0,0.9801630060080769,1208.43
56,actor,False,True,0.7,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714333415031433,0.7576432228088379,14763.89,16493.8,8.544326611459688,0.001299857828665019,14763.89,8.498161179732076,0.0014204926702434991,0.8482,60918.0,0.7292458714993925,16493.8
