dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges
syn1,False,False,100.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.33,0.7,0.2183401733636856,0.5756206512451172,249.76,3.3963913174738183,0.2623678241491888,55.78,2.8791635941274625,0.27163105792374553,3.408,4110.0
syn1,False,False,100.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.46,0.68,0.38280048966407776,0.5861397385597229,4053.49,8.17984190538191,0.07753128861174101,100.0,4.461072000519575,0.17667723214285705,0.0124,4110.0
syn1,False,False,100.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.16108369827270508,0.5803595185279846,4104.06,8.133763279122341,0.8034724727829671,100.0,4.394203074343882,0.8126491777809006,0.2725,4110.0
syn1,False,False,100.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,0.4150720238685608,0.21959058940410614,4108.95,8.311185367201626,0.8961034449511913,100.0,4.604822213429831,0.9069247521974307,0.5389,4110.0
syn1,False,False,100.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.68,0.19,0.6109910011291504,0.123288594186306,2999.84,6.340081588738761,0.0010067343477517393,100.0,3.643237089670242,0.026959505347257783,0.0181,4110.0
syn1,False,False,100.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.15,0.68,0.10499242693185806,0.5947036743164062,763.34,5.4302742087261775,0.0026598690497896637,100.0,4.603988282673262,0.8616314577452318,94.6598,4110.0
syn1,False,False,100.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.62,0.25,0.5448508858680725,0.17093344032764435,701.42,5.676529521759492,0.2354743747555898,92.12,4.399838960963477,0.4635249308138444,5.4466,4110.0
syn1,False,False,100.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.68,0.25210657715797424,0.5598294138908386,4104.9,8.127103166024556,0.43579386659010394,100.0,4.605144493138216,0.9844094154755431,0.0001,4110.0
syn1,False,False,100.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.68,0.3749261796474457,0.5811077952384949,3384.78,7.424401001395878,0.8066358438907816,99.04,4.368249540278311,0.8146523761604079,0.0063,4110.0
syn1,False,False,100.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.47,0.3813944160938263,0.364854097366333,9.24,1.9907367269862852,1.0,9.24,1.9907367269862852,1.0,0.2522,4110.0
syn1,False,True,1.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.05,0.68,0.04223868250846863,0.5623229742050171,249.76,3.4760666356817502,0.3406316412263825,1.0,0.0,1.0,3.3017,4110.0
syn1,False,True,1.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.18,0.68,0.09942791610956192,0.5570504665374756,4053.49,8.17984190538191,0.07753128861174101,1.0,0.0,1.0,0.0124,4110.0
syn1,False,True,1.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.1639798879623413,0.5734525918960571,4104.06,8.133763279122341,0.8034724727829671,1.0,0.0,1.0,0.2704,4110.0
syn1,False,True,1.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.68,0.36707988381385803,0.5534243583679199,4108.95,8.311185367201626,0.8961034449511913,1.0,0.0,1.0,0.5389,4110.0
