dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,cc_ratio_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio_transf,time,number_of_edges
syn1,True,True,4.0,occlusion,20.0,0.45,0.2,0.38599568605422974,0.10226394981145859,-1.0,-1.0,-1.0,-1.0,0.21000000000000002,0.2625,0.175,4109.0,8.309862676151068,0.9249462863877405,0.0014285714285714286,4.0,1.3846013704582474,0.9363326449287873,0.3635714285714285,0.6812,4110.0
syn1,True,True,4.0,pagerank,20.0,0.55,0.55,0.4504297375679016,0.3920030891895294,-1.0,-1.0,-1.0,-1.0,0.5,1.0,0.33333333333333326,2987.4,6.366147200272256,0.0010056247006875524,0.0027506538915790077,4.0,1.3853857516838466,0.9214404699391151,0.33333333333333326,0.0287,4110.0
syn1,True,True,4.0,pgexplainer,20.0,0.0,0.55,0.0,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,923.7,5.82317199177394,0.01653129427957888,0.19425805253696501,4.0,1.386276368487734,0.9888375664274808,0.5,49.9946,4110.0
syn1,True,True,4.0,pgmexplainer,20.0,0.25,0.75,0.1738814264535904,0.5366851687431335,-1.0,-1.0,-1.0,-1.0,0.3875,0.775,0.25833333333333325,802.3,5.698170467642355,0.24972856268444293,0.020465026039857327,4.0,1.3859514415844767,0.967636668621215,0.37499999999999994,3.1267,4110.0
syn1,True,True,4.0,random,20.0,0.0,0.55,-4.887580757895194e-07,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4104.7,8.126336122121874,0.4267193171526162,0.0014285714285714286,4.0,1.3862943253745545,0.9993972742835364,0.4928571428571429,0.0002,4110.0
syn1,True,True,4.0,sa,20.0,0.55,0.55,0.3542402386665344,0.46729010343551636,-1.0,-1.0,-1.0,-1.0,0.05,0.1,0.03333333333333333,3728.3,7.83762953814387,0.8919433566541951,0.002128294036061027,4.0,1.3859775474201956,0.9852610057959608,0.36190476190476184,0.0036,4110.0
syn1,True,True,4.0,subgraphx,20.0,0.3,0.65,0.21526534855365753,0.5241245627403259,-1.0,-1.0,-1.0,-1.0,0.5368253968253968,0.9166666666666666,0.4083333333333333,9.6,1.9908069252710916,1.0,0.2766666666666667,3.4,1.1783502069519067,1.0,0.3075,0.1252,4110.0
syn1,True,True,5.0,basic_gnnexplainer,20.0,0.25,0.65,0.1276959329843521,0.4891807436943054,-1.0,-1.0,-1.0,-1.0,0.251010101010101,0.3208333333333333,0.20833333333333334,281.8,3.8139701299014654,0.42557504506308924,0.06498174457685586,5.0,1.598547793051692,0.9951554079175613,0.3806547619047619,3.2343,4110.0
syn1,True,True,5.0,distance,20.0,0.2,0.6,0.024194691330194473,0.4320394992828369,-1.0,-1.0,-1.0,-1.0,0.6593939393939394,0.8000000000000002,0.5666666666666667,4052.1,8.178818725297734,0.07516330341395817,0.0014285714285714286,5.0,1.542139298101056,0.6900897817460317,0.21166666666666667,0.0145,4110.0
syn1,True,True,5.0,gnnexplainer,20.0,0.35,0.6,0.17584459483623505,0.4723338186740875,-1.0,-1.0,-1.0,-1.0,0.2778787878787879,0.3325,0.2416666666666667,281.8,3.6935496545516573,0.32527619456663737,0.06498174457685586,5.0,1.5655544539421953,0.9452324822751338,0.372718253968254,3.1841,4110.0
syn1,True,True,5.0,ig,20.0,0.1,0.55,-0.01410406082868576,0.4672365188598633,-1.0,-1.0,-1.0,-1.0,0.06666666666666667,0.1,0.05,4097.1,8.20425696241743,0.8923134702121118,0.0016428571428571432,5.0,1.6092767634387328,0.9897366236800267,0.3385912698412698,0.1724,4110.0
syn1,True,True,5.0,occlusion,20.0,0.45,0.2,0.38599568605422974,0.10226394981145859,-1.0,-1.0,-1.0,-1.0,0.1909090909090909,0.21000000000000002,0.175,4109.0,8.309862676151068,0.9249462863877405,0.0014285714285714286,5.0,1.607576596980333,0.9309543665631155,0.3412698412698413,0.6812,4110.0
syn1,True,True,5.0,pagerank,20.0,0.55,0.55,0.45030251145362854,0.3431565463542938,-1.0,-1.0,-1.0,-1.0,0.6666666666666665,1.0,0.5,2987.4,6.366147200272256,0.0010056247006875524,0.0027506538915790077,5.0,1.6058496500434063,0.9204263890622821,0.2583333333333333,0.0287,4110.0
syn1,True,True,5.0,pgexplainer,20.0,0.0,0.55,-0.010827767662703991,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.01111111111111111,0.016666666666666666,0.008333333333333333,923.7,5.82317199177394,0.01653129427957888,0.19425805253696501,5.0,1.6094167841873717,0.9887631493718454,0.5,49.9946,4110.0
syn1,True,True,5.0,pgmexplainer,20.0,0.3,0.8,0.21025006473064423,0.5536789894104004,-1.0,-1.0,-1.0,-1.0,0.47777777777777775,0.7166666666666666,0.3583333333333333,802.3,5.698170467642355,0.24972856268444293,0.020465026039857327,5.0,1.6086720994267822,0.9673027495872052,0.2875,3.1267,4110.0
syn1,True,True,5.0,random,20.0,0.0,0.55,-4.887580757895194e-07,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4104.7,8.126336122121874,0.4267193171526162,0.0014285714285714286,5.0,1.6094378538720462,0.9991782160758627,0.49444444444444446,0.0002,4110.0
syn1,True,True,5.0,sa,20.0,0.55,0.55,0.3542402386665344,0.46724367141723633,-1.0,-1.0,-1.0,-1.0,0.06666666666666667,0.1,0.05,3728.3,7.83762953814387,0.8919433566541951,0.002128294036061027,5.0,1.6090908941546107,0.9852179658131319,0.3385912698412698,0.0036,4110.0
syn1,True,True,5.0,subgraphx,20.0,0.3,0.65,0.23881670832633972,0.5119341611862183,-1.0,-1.0,-1.0,-1.0,0.5723809523809524,0.925,0.4499999999999999,9.6,1.9908069252710916,1.0,0.2766666666666667,4.1,1.3345506928718536,1.0,0.29500000000000004,0.1252,4110.0
syn1,True,True,6.0,basic_gnnexplainer,20.0,0.25,0.65,0.12775775790214539,0.4974137246608734,-1.0,-1.0,-1.0,-1.0,0.3118181818181818,0.35416666666666663,0.2833333333333333,281.8,3.8139701299014654,0.42557504506308924,0.06498174457685586,6.0,1.7631352342365623,0.9934272819443406,0.3609199134199134,3.2343,4110.0
