dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio,time,number_of_edges
syn4,False,True,5.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.004,0.4,0.003663395869079977,0.408707058429718,0.002909090909090909,0.0032,0.0026666666666666666,1947.0639999999999,7.381199620896908,0.4594664479447932,5.0,1.6094375392634575,0.9980347087908227,0.49755555555555553,2e-05,1950.0
syn4,False,True,5.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.378,0.532,0.36709415912628174,0.5185844123363494,0.06755555555555555,0.10133333333333334,0.05066666666666667,1313.6960000000001,5.976976706770658,0.4096847848364179,5.0,1.6027521340406647,0.9669721816230086,0.3121150793650794,0.0038,1950.0
syn4,False,True,5.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.39,0.505,0.37902407348155975,0.4333103597164154,0.2221634199134199,0.3245,0.17166666666666663,7.2299999999999995,1.91272327457971,1.0,4.734999999999999,1.5490705709461774,1.0,0.27441666666666664,2.2591,1950.0
syn4,False,True,10.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.434,0.364,0.41944902539253237,0.3651056170463562,0.28605587745587746,0.26314920634920635,0.31633333333333336,22.048,2.018769530323835,0.14127527100057763,10.0,1.951894339799281,0.779636679898994,0.20421572055395582,3.9257400000000002,1950.0
syn4,False,True,10.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.45999999999999996,0.29,0.45688501596450803,0.28567835688591003,0.30738534798534795,0.2907103174603175,0.32799999999999996,1938.372,7.086640865535186,0.011210759195660539,10.0,2.2103503561086755,0.40797225740795096,0.13003138528138528,0.007239999999999999,1950.0
syn4,False,True,10.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.46399999999999997,0.352,0.4296362936496735,0.3458227813243866,0.28714983349983353,0.26427698412698414,0.318,22.048,2.0238692140966146,0.13141288696648024,10.0,1.9550760248205261,0.7501393773495988,0.2022173578055931,3.2393799999999997,1950.0
syn4,False,True,10.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.398,0.44000000000000006,0.3842180401086807,0.43825197219848633,0.24857575757575753,0.26486666666666664,0.23500000000000001,1309.568,5.775359243267156,0.3024567146765452,10.0,2.2525564383666308,0.8398874779810843,0.21671666666666667,0.17309999999999998,1950.0
syn4,False,True,10.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.418,0.384,0.4225450098514557,0.3672547399997711,0.18461959706959707,0.158681746031746,0.22199999999999998,1883.304,7.4398136823713275,0.5876913375277433,10.0,2.266420853437115,0.6444953023449064,0.24968523698523698,0.07446,1950.0
syn4,False,True,10.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.252,0.40857299566268923,0.23323850631713866,0.3128484848484848,0.34146666666666664,0.289,166.568,3.531875527610574,0.0011181376119064337,10.0,2.2321204935867844,0.5093904341605905,0.16479285714285716,0.01386,1950.0
syn4,False,True,10.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.41,0.0008228735903685446,0.4163687348365784,0.0,0.0,0.0,1607.6119999999999,6.33842460360701,0.0023832416566531775,10.0,2.302579977503072,0.9991815127502287,0.3393068627450982,33.55514,1950.0
