dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
actor,True,True,0.0,gradcam,100.0,0.8779999999999999,0.5519999999999999,0.22495056688785553,-0.036801781691610816,-1.0,-1.0,-1.0,-1.0,0.49280341565608976,30897.397999999997,30897.397999999997,7.586743495614984,0.10128879795270047,30897.397999999997,7.586743495614984,0.10128879795270047,0.0054800000000000005,60918.0,0.49280347352178316,30897.397999999997
actor,True,True,0.0,ig,100.0,0.89,0.5519999999999999,0.22991624474525452,-0.0359844071790576,-1.0,-1.0,-1.0,-1.0,0.04802033267915249,57992.695999999996,57992.695999999996,10.63584758197144,0.1520724413509158,57992.695999999996,10.63584758197144,0.1520724413509158,0.24087,60918.0,0.04802035523162277,57992.695999999996
actor,True,True,0.0,occlusion,100.0,0.8779999999999999,0.553,0.22467234879732131,-0.035130472481250764,-1.0,-1.0,-1.0,-1.0,0.9748143672943115,1534.258,1534.258,5.894726545603443,0.8243414180219553,1534.258,5.894726545603443,0.8243414180219553,3.2413499999999997,60918.0,0.9748143734200074,1534.258
actor,True,True,0.0,pagerank,100.0,0.8779999999999999,0.553,0.2246723458170891,-0.03513047359883785,-1.0,-1.0,-1.0,-1.0,0.727567321062088,16596.053,16596.053,8.54261096793956,0.0018295582535450346,16596.053,8.54261096793956,0.0018295582535450346,0.8555699999999999,60918.0,0.727567336419449,16596.053
actor,True,True,0.0,pgmexplainer,100.0,0.8779999999999999,0.554,0.2246723458170891,-0.033449445851147175,-1.0,-1.0,-1.0,-1.0,0.9009416341781616,6034.437,6034.437,7.646731908813797,0.2289737931109276,6034.437,7.646731908813797,0.2289737931109276,34.80741,60918.0,0.900941642864178,6034.437
actor,True,True,0.0,random,100.0,0.877,0.5509999999999999,0.2246113106608391,-0.03407428921200335,-1.0,-1.0,-1.0,-1.0,0.0010164158418774604,60856.08200000001,60856.08200000001,10.824165063509259,0.48920975334335476,60856.08200000001,10.824165063509259,0.48920975334335476,0.00063,60918.0,0.0010164155093732555,60856.08200000001
actor,True,True,0.0,sa,100.0,0.9460000000000001,0.457,0.25262446105480196,-0.09437375194393098,-1.0,-1.0,-1.0,-1.0,0.524559086561203,28962.909999999996,28962.909999999996,8.976351637377027,0.5260067967564084,28962.909999999996,8.976351637377027,0.5260067967564084,0.02354,60918.0,0.5245590794182344,28962.909999999996
actor,True,True,0.7,basic_gnnexplainer,100.0,0.8779999999999999,0.553,0.2246723458170891,-0.035130472481250764,-1.0,-1.0,-1.0,-1.0,0.9748143672943115,1534.258,1534.258,5.4375369863734475,0.6845758871198389,1534.258,5.4375369863734475,0.6845758871198389,3.8191800000000002,60918.0,0.9748143734200074,1534.258
actor,True,True,0.7,distance,100.0,0.8779999999999999,0.553,0.2246723458170891,-0.035130484215915206,-1.0,-1.0,-1.0,-1.0,0.7000064849853516,18275.0,60913.001000000004,10.95911632515155,0.1167182762719183,18275.0,9.782467694844073,0.1634340183982684,0.72569,60918.0,8.20611313569125e-05,60913.001000000004
actor,True,True,0.7,gnnexplainer,100.0,0.8779999999999999,0.246,0.2246723458170891,-0.34121765941381454,-1.0,-1.0,-1.0,-1.0,0.9748143672943115,1534.258,1534.258,4.802508546881373,0.05732886283474288,1534.258,4.802508546881373,0.05732886283474288,4.06454,60918.0,0.9748143734200074,1534.258
actor,True,True,0.7,gradcam,100.0,0.883,0.5,0.22669295966625214,-0.08183203358203173,-1.0,-1.0,-1.0,-1.0,0.8448982059955596,9448.486,30897.397999999997,7.586743495614984,0.10128879795270047,9448.486,6.967232833115517,0.10361989984509579,0.00528,60918.0,0.49280347352178316,30897.397999999997
actor,True,True,0.7,ig,100.0,0.9119999999999999,0.506,0.24769397228956222,-0.07964810747653246,-1.0,-1.0,-1.0,-1.0,0.7135951220989227,17447.208000000002,57992.695999999996,10.63584758197144,0.1520724413509158,17447.208000000002,9.473601736738065,0.15652641646560178,0.2476,60918.0,0.04802035523162277,57992.695999999996
actor,True,True,0.7,occlusion,100.0,0.8779999999999999,0.553,0.22467234879732131,-0.035130470991134644,-1.0,-1.0,-1.0,-1.0,0.9748143672943115,1534.258,1534.258,5.894726545589109,0.8243414184030385,1534.258,5.894726545589109,0.8243414184030385,3.35632,60918.0,0.9748143734200074,1534.258
actor,True,True,0.7,pagerank,100.0,0.8779999999999999,0.553,0.2246723458170891,-0.03513048198074102,-1.0,-1.0,-1.0,-1.0,0.7591289758682251,14673.378,16596.053,8.54261096793956,0.0018295582535450346,14673.378,8.493410023845986,0.001968287904243355,0.8512700000000001,60918.0,0.727567336419449,16596.053
actor,True,True,0.7,pgmexplainer,100.0,0.8779999999999999,0.554,0.2246723473072052,-0.033449447341263296,-1.0,-1.0,-1.0,-1.0,0.9031238615512848,5901.499,6034.437,7.646731908813797,0.2289737931109276,5901.499,7.6435689058981895,0.23041793030955576,35.73343,60918.0,0.900941642864178,6034.437
actor,True,True,0.7,random,100.0,0.555,0.666,-0.014173785597085953,0.06927266009151936,-1.0,-1.0,-1.0,-1.0,0.7000064849853516,18275.0,60856.08200000001,10.824165063509259,0.48920975334335476,18275.0,9.808079157937234,0.8470607907800508,0.00057,60918.0,0.0010164155093732555,60856.08200000001
actor,True,True,0.7,sa,100.0,0.986,0.442,0.29123240113258364,-0.10668589696288108,-1.0,-1.0,-1.0,-1.0,0.8124718129634857,11423.839,28962.909999999996,8.976351633630676,0.5260067971729578,11423.839,8.48352350061127,0.5305178378177262,0.028739999999999998,60918.0,0.5245590794182344,28962.909999999996
actor,True,True,0.99,distance,100.0,0.835,0.453,0.19438931047916413,-0.12055050861090422,-1.0,-1.0,-1.0,-1.0,0.9900029897689819,609.0,60913.001000000004,10.95911632515155,0.1167182762719183,609.0,6.375125408463852,0.28423386580086585,0.77615,60918.0,8.20611313569125e-05,60913.001000000004
