dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test_x,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,num_test_init,mask_size_init,mask_entropy_init,max_avg_init,num_test_transf,mask_size_transf,mask_entropy_transf,max_avg_transf,num_test_y,time,number_of_edges
actor,False,False,25.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.9,0.0,0.17663779854774475,0.11172384023666382,100.0,43841.5,9.959901408525296,0.7147165552001702,100.0,25.0,3.210109863495089,0.9239669299125672,100.0,0.0374,60918.0
actor,False,False,25.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.3333333333333333,0.04175779968500137,0.07060451060533524,100.0,1.2,0.09241962407465937,1.0,100.0,1.2,0.09241962407465937,1.0,100.0,2282.6549,60918.0
actor,False,False,50.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.11,0.41,0.02947031334042549,0.0938265398144722,100.0,1208.43,5.300965852400096,0.6968892712283418,100.0,45.87,3.379158055584414,0.7166498536568359,100.0,3.827,60918.0
actor,False,False,50.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.33,0.33,0.06956083327531815,0.06296911835670471,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,50.0,3.846918175559563,0.42378991402116384,100.0,0.8971,60918.0
actor,False,False,50.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.37,0.09043898433446884,0.0681096538901329,100.0,1208.43,4.69075435832716,0.05112460597643841,100.0,45.87,2.6738376488456437,0.08269752366110379,100.0,7.4523,60918.0
actor,False,False,50.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.46,0.31,0.08703392744064331,0.0561923123896122,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,44.97,3.361978929318003,0.2335814467777743,100.0,0.0079,60918.0
actor,False,False,50.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.4,0.17277969419956207,0.14658117294311523,100.0,60917.0,11.01476696813395,0.36380117192274913,100.0,50.0,3.853361522632872,0.5021008439242433,100.0,0.3854,60918.0
actor,False,False,50.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.11,0.11180523782968521,0.045226916670799255,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,45.69,3.6364995468810974,0.4845064461104643,100.0,2.8098,60918.0
actor,False,False,50.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.33,0.3,0.08182255923748016,0.058047402650117874,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,50.0,3.6176063579768796,0.193947471943817,100.0,0.9544,60918.0
actor,False,False,50.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.3,0.06594222038984299,0.05543091893196106,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,49.12,3.866429997746577,0.6974795717220271,100.0,53.0106,60918.0
actor,False,False,50.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.9,0.0,0.17663779854774475,0.11172384023666382,100.0,43841.5,9.959901408525296,0.7147165552001702,100.0,50.0,3.900213748200757,0.8871125986933709,100.0,0.0374,60918.0
actor,False,False,50.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.3333333333333333,0.04175779968500137,0.07060451060533524,100.0,1.2,0.09241962407465937,1.0,100.0,1.2,0.09241962407465937,1.0,100.0,2282.6549,60918.0
actor,False,False,100.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.17,0.4,0.04429478943347931,0.08408048748970032,100.0,1208.43,5.300965852400096,0.6968892712283418,100.0,85.33,3.9006453601725095,0.7125554997002297,100.0,3.827,60918.0
actor,False,False,100.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.31,0.34,0.07214448601007462,0.05924328416585922,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,100.0,4.546923887403376,0.3723518518518518,100.0,0.8971,60918.0
actor,False,False,100.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.37,0.09024583548307419,0.06829650700092316,100.0,1208.43,4.69075435832716,0.05112460597643841,100.0,85.33,3.119966380319433,0.06372632243025839,100.0,7.4523,60918.0
actor,False,False,100.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.43,0.31,0.0867190957069397,0.05704929679632187,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,85.2,3.878852192320471,0.19702334708230457,100.0,0.0079,60918.0
actor,False,False,100.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.4,0.17277969419956207,0.14662200212478638,100.0,60917.0,11.01476696813395,0.36380117192274913,100.0,100.0,4.5498125753579455,0.4526983331583746,100.0,0.3854,60918.0
actor,False,False,100.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.69,0.1,0.11268156518538792,0.04405081644654274,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,85.15,4.202274803504562,0.4819746164963742,100.0,2.8098,60918.0
actor,False,False,100.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.35,0.29,0.08200310915708542,0.058801669627428055,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,100.0,4.198790648517621,0.12170382538893933,100.0,0.9544,60918.0
actor,False,False,100.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.18,0.3,0.07079906016588211,0.05483045056462288,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,96.68,4.516180378925285,0.6122964554877585,100.0,53.0106,60918.0
actor,False,False,100.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.9,0.0,0.17663779854774475,0.11172384023666382,100.0,43841.5,9.959901408525296,0.7147165552001702,100.0,100.0,4.564734873812208,0.8761524126529693,100.0,0.0374,60918.0
actor,False,False,100.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.3333333333333333,0.04175779968500137,0.07060451060533524,100.0,1.2,0.09241962407465937,1.0,100.0,1.2,0.09241962407465937,1.0,100.0,2282.6549,60918.0
actor,False,True,1.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.54,0.42,0.1314603090286255,0.11454320698976517,100.0,1208.43,5.232674647495783,0.6761227963033773,100.0,1.0,0.0,1.0,100.0,7.6367,60918.0
actor,False,True,1.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.37,0.130509153008461,0.10657577216625214,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,1.0,0.0,1.0,100.0,0.8542,60918.0
actor,False,True,1.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.6,0.4,0.14125436544418335,0.10862374305725098,100.0,1208.43,4.698491413616178,0.0608685910351883,100.0,1.0,0.0,1.0,100.0,3.8576,60918.0
actor,False,True,1.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.33,0.13074293732643127,0.07249396294355392,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,1.0,0.0,1.0,100.0,0.0079,60918.0
