dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test_x,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,num_test_init,mask_size_init,mask_entropy_init,max_avg_init,num_test_transf,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio,num_test_y,time,number_of_edges
actor,False,False,25.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.044000000000000004,0.352,0.012454423606686759,0.10912067294120789,100.0,1841.256,5.728820744278332,0.725068272837227,100.0,24.092000000000002,2.8807747495967524,0.7842508644925082,0.3450066458320519,100.0,5.6623,60918.0
actor,False,False,25.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.23399999999999999,0.268,0.05113519281148911,0.07507388442754745,100.0,60913.63999999999,10.959247404099623,0.11622739333345829,100.0,25.0,3.1482206648092204,0.504528697210197,0.04444505689267435,100.0,0.79156,60918.0
actor,False,False,25.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.462,0.296,0.0828467108309269,0.07858151346445083,100.0,1672.486,5.04743683104715,0.05901084398647379,100.0,24.06,2.12936758963017,0.17087410324429242,0.11317309609590516,100.0,4.56018,60918.0
actor,False,False,25.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.418,0.25599999999999995,0.07770658731460571,0.05186714008450508,100.0,33070.77,7.954254141961384,0.151472081932289,100.0,23.806,2.8871981499336954,0.30781118193310186,0.09834451468268199,100.0,0.00598,60918.0
actor,False,False,25.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.34,0.11076491717249155,0.11261119693517685,100.0,51363.979999999996,10.405149210746501,0.24284995150386274,100.0,25.0,3.1464604441892075,0.5070765729683882,0.15249829255711606,100.0,0.35788000000000003,60918.0
actor,False,False,25.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.628,0.06,0.1114547684788704,0.03764227703213692,100.0,1672.45,5.92559470922488,0.4763237731254383,100.0,24.024,3.004026440613626,0.4900757804868082,0.09758500923558815,100.0,4.09246,60918.0
actor,False,False,25.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.196,0.308,0.058281289458273024,0.06521175652742386,100.0,16935.738,8.549755457497303,0.0020192287730140175,100.0,25.0,3.042075578019772,0.31184756337780345,0.09217460317460317,100.0,0.88398,60918.0
actor,False,False,25.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.03,0.41,0.012500274926424026,0.09564953148365021,100.0,716.5959999999999,4.781325241286612,0.04003723587106579,100.0,24.058,3.066180634260758,0.494481636031772,0.8315470292489252,100.0,0.65502,60918.0
actor,False,False,25.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.18,0.258,0.05366844087839127,0.06397505775094033,100.0,6354.61,7.690641603094939,0.22860147181225732,100.0,24.793999999999997,3.188726119241675,0.7946082472451362,0.5543350057417045,100.0,55.812979999999996,60918.0
actor,False,False,25.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.24899999999999994,0.356,0.04802322648465633,0.11890862062573433,100.0,60856.35800000002,10.824127030536014,0.5060825271054753,100.0,25.0,3.2188758173461154,0.9997218901556109,0.525790537828721,100.0,0.0006,60918.0
