dataset,sparsity,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn4,0.0,random,100.0,1.0,0.012320328542094458,1.0,0.0061983471074380184,0.4869884788634788,1.0,0.01,0.984494686126709,0.009978149086236954,0.0005165338516235352,1935.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.0,sa_node,100.0,1.0,0.01003351815901776,0.8133333333333332,0.005047895242805543,0.13274168399168396,1.0,0.36,0.9780396223068237,0.3521072268486023,0.0013533186865970492,1933.38,0.0036,1936.0,0.0013533057851239606,1933.38
syn4,0.0,subgraphx,100.0,1.0,0.707272727272727,0.6016666666666667,0.8619999999999999,0.8005058905058903,1.0,1.0,0.9844945669174194,0.9493544101715088,0.9956198334693909,8.48,0.2401,1936.0,0.9956198347107456,8.48
syn4,0.7,distance,100.0,1.0,0.035142457926212636,1.0,0.017885679770339197,0.9985334372834371,1.0,0.0,0.9844945669174194,0.0,0.7004133462905884,580.0,0.0071,1936.0,0.004979338842975205,1926.36
syn4,0.7,gnnexplainer,100.0,1.0,0.7796968542069497,1.0,0.6539945789504614,0.9979976611226611,1.0,0.0,0.9844945669174194,0.0,0.989886462688446,19.58,2.6118,1936.0,0.9898863636363642,19.58
syn4,0.7,ig_node,100.0,1.0,0.258404288508488,0.9983333333333333,0.19415217584360966,0.9984753984753983,1.0,0.0,0.9844945669174194,0.029286691918969154,0.8034504652023315,380.52,0.1464,1936.0,0.35747933884297495,1243.92
syn4,0.7,occlusion,100.0,1.0,0.019511752743344962,0.6416666666666667,0.009906498361406274,0.6389875693000693,0.99,0.83,0.9792123436927795,0.8245094418525696,0.7004133462905884,580.0,0.0599,1936.0,0.0010743801652892315,1933.92
syn4,0.7,pagerank,100.0,1.0,0.04051190299512446,1.0,0.02067473910269832,0.9994525294525296,1.0,0.0,0.9844945669174194,0.0,0.7004133462905884,580.0,0.0119,1936.0,0.0012086776859503957,1933.66
syn4,0.7,pgmexplainer,100.0,1.0,0.6259083472937177,1.0,0.47261265945209274,0.9998977823977825,1.0,0.0,0.9844945669174194,0.0,0.9850826263427734,28.88,4.8179,1936.0,0.985082644628099,28.88
syn4,0.7,random,100.0,1.0,0.012772576293839044,0.5316666666666666,0.006463941735137068,0.507089397089397,0.79,1.0,0.7718669176101685,0.9804295301437378,0.7004133462905884,580.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.7,sa_node,100.0,1.0,0.004011871404368098,0.13166666666666665,0.0020369691778406463,0.4352304227304227,0.06,1.0,0.19685661792755127,0.9844944477081299,0.7004133462905884,580.0,0.0051,1936.0,0.0013533057851239606,1933.38
syn4,0.7,subgraphx,100.0,1.0,0.7098181818181816,0.605,0.863,0.8021777546777545,1.0,1.0,0.9844945669174194,0.9497852921485901,0.9956094622612,8.5,0.261,1936.0,0.9956095041322331,8.5
syn4,0.99,distance,100.0,1.0,0.6726497370878175,0.98,0.5137342657342657,0.9556018277893279,1.0,0.33,0.9844944477081299,0.34301939606666565,0.9901859164237976,19.0,0.0091,1936.0,0.004979338842975205,1926.36
syn4,0.99,gnnexplainer,100.0,1.0,0.7766458151411713,0.9816666666666667,0.6542710622710624,0.9571238305613305,1.0,0.24,0.9819622039794922,0.22032779455184937,0.9910537600517273,17.32,2.5982,1936.0,0.9898863636363642,19.58
syn4,0.99,ig_node,100.0,1.0,0.7289083710407239,0.99,0.5791038961038961,0.9945824670824669,1.0,0.04,0.9844944477081299,0.08543824404478073,0.9902892112731934,18.8,0.2786,1936.0,0.35747933884297495,1243.92
syn4,0.99,occlusion,100.0,1.0,0.3976367016122029,0.6416666666666667,0.28862073710603114,0.7200225225225222,0.99,0.83,0.9748056530952454,0.8245094418525696,0.9901859164237976,19.0,0.0675,1936.0,0.0010743801652892315,1933.92
syn4,0.99,pagerank,100.0,1.0,0.74875,0.9983333333333334,0.5989999999999999,0.9957194213444214,1.0,0.06,0.9844945669174194,0.05622879043221474,0.9901859164237976,19.0,0.0128,1936.0,0.0012086776859503957,1933.66
syn4,0.99,pgmexplainer,100.0,1.0,0.7639924046541693,0.9983333333333334,0.6211493506493505,0.9986499480249481,1.0,0.06,0.9844944477081299,0.04123804718255997,0.9904286861419678,18.53,6.9566,1936.0,0.985082644628099,28.88
syn4,0.99,random,100.0,1.0,0.007233333333333334,0.015,0.004766081871345029,0.49882233194733194,0.04,1.0,0.03922079876065254,0.9844953417778015,0.9901859164237976,19.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.99,sa_node,100.0,1.0,0.08664258685930512,0.13166666666666665,0.0646095571095571,0.5618247574497576,0.06,1.0,0.19685649871826172,0.9844945669174194,0.9901859164237976,19.0,0.0028,1936.0,0.0013533057851239606,1933.38
syn4,0.99,subgraphx,100.0,1.0,0.6898181818181817,0.5866666666666667,0.841,0.7929643104643103,1.0,1.0,0.9844945669174194,0.9489234089851379,0.9956300258636475,8.46,0.2651,1936.0,0.9956301652892579,8.46
