,balanced_acc,dataset,datatype,explainer,f1_score,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,num_explained_y_with_acc,precision,pred_type,recall,roc_auc_score,time,top_balanced_acc,top_f1_score,top_precision,top_recall,top_roc_auc_score,topk,seed,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device
2574,0.4781430499325236,ba_2motifs,binary,sa,0.3412117961756449,,,,,model,3.758123477055215,hard,48.63,0.0471629698033059,0.4407065836337753,gin,100,100,0.2097039045374548,mix,0.9201282051282051,0.5870693043798307,0.0019,0.6500546098638204,0.4551184725097768,0.4354820179820179,0.4766223776223775,0.6680975141086983,50.0,1,0.56,0.0,0.498565137386322,0.0386666432023048,
2575,0.4781430499325236,ba_2motifs,binary,sa,0.3412117961756449,,,,,model,3.758123477055215,hard,48.63,0.0471629698033059,0.4407065836337753,gin,100,100,0.2097039045374548,mix,0.9201282051282051,0.5870693043798307,0.0019,0.6500546098638204,0.4551184725097768,0.4354820179820179,0.4766223776223775,0.6680975141086983,100.0,1,0.56,0.0,0.498565137386322,0.0386666432023048,
2576,0.4861808367071525,ba_2motifs,binary,sa,0.343656652600479,,,,,model,3.755995866313045,soft,48.67,0.0444618770585156,0.4159939189240419,gin,100,100,0.2107292956181154,mix,0.9352564102564104,0.6188962151883204,0.0013,0.6681793031529872,0.4810916954221301,0.4602172827172828,0.5039638694638694,0.686068683290394,,2,0.53,0.51,0.5308691263198853,0.5099895596504211,
2577,0.5828193473193473,ba_2motifs,binary,sa,0.2861245421245421,,,,,model,0.6930005947740949,soft,2.0,0.9607155169760204,0.9970822947744216,gin,100,100,0.92,mix,0.1696386946386946,0.5828193473193473,0.0013,0.5828193473193473,0.2861245421245421,0.92,0.1696386946386946,0.5828193473193473,1.0,2,0.87,0.51,0.8522379994392395,0.4984215497970581,
2578,0.6025206876456877,ba_2motifs,binary,sa,0.3446190476190475,,,,,model,1.094835096645101,soft,3.0,0.9410732754640314,0.9955217434022576,gin,100,100,0.7900000000000001,mix,0.2207913752913752,0.6033623543123544,0.0013,0.6025206876456877,0.3446190476190475,0.7900000000000001,0.2207913752913752,0.6033623543123544,2.0,2,0.87,0.51,0.8551145792007446,0.5033387541770935,
2579,0.6222220279720283,ba_2motifs,binary,sa,0.3948711484593836,,,,,model,1.3817527559962648,soft,4.0,0.921431033952042,0.8409805460798667,gin,100,100,0.725,mix,0.2719440559440558,0.6239053613053613,0.0013,0.6222220279720283,0.3948711484593836,0.725,0.2719440559440558,0.6239053613053613,3.0,2,0.86,0.51,0.846523106098175,0.5046220421791077,
2580,0.6288817016317017,ba_2motifs,binary,sa,0.4106683006535946,,,,,model,1.60011469013538,soft,5.0,0.9017887924400542,0.8377478636195006,gin,100,100,0.644,mix,0.3022634032634032,0.6324483682983683,0.0013,0.6288817016317017,0.4106683006535946,0.644,0.3022634032634032,0.6324483682983683,4.0,2,0.85,0.51,0.8252149224281311,0.507805585861206,
2581,0.6350251809593912,ba_2motifs,binary,sa,0.4234915720674235,,,,,model,1.7801511847234994,soft,6.0,0.8821465509280635,0.7287018672746739,gin,100,100,0.5883333333333333,mix,0.3318135198135198,0.6405257882468408,0.0013,0.6350251809593912,0.4234915720674235,0.5883333333333333,0.3318135198135198,0.6405257882468408,5.0,2,0.84,0.51,0.8230940103530884,0.5103585124015808,
2582,0.6480946049564469,ba_2motifs,binary,sa,0.447876848985208,,,,,model,1.930250524060971,soft,7.0,0.8625043094160734,0.7221573415256938,gin,100,100,0.5642857142857143,mix,0.3724918414918415,0.6547006103545577,0.0013,0.6480946049564469,0.447876848985208,0.5642857142857143,0.3724918414918415,0.6547006103545577,6.0,2,0.84,0.51,0.8221389055252075,0.5116830468177795,
2583,0.6616802232854866,ba_2motifs,binary,sa,0.4705162907268169,,,,,model,2.0611207951772075,soft,8.0,0.8428620679040852,0.6543191296261486,gin,100,100,0.5475,mix,0.413939393939394,0.6693207765918292,0.0013,0.6616802232854866,0.4705162907268169,0.5475,0.413939393939394,0.6693207765918292,7.0,2,0.84,0.51,0.8246431946754456,0.5135941505432129,
