,dataset,datatype,explainer,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,pred_type,time,topk,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device,seed
1101,mutag,binary,subgraphx,,,,,model,2.80428127887146,soft,16.88,0.615413821105876,1.0,gat,100,mix,13.8959,25.0,0.06,0.07,0.0292076803743839,0.0518602803349494,,
1102,mutag,binary,subgraphx,,,,,model,2.80428127887146,soft,16.88,0.615413821105876,1.0,gat,100,mix,13.8959,50.0,0.06,0.07,0.0292076803743839,0.0518602803349494,,
1103,mutag,binary,subgraphx,,,,,model,2.80428127887146,soft,16.88,0.615413821105876,1.0,gat,100,mix,13.8959,100.0,0.06,0.07,0.0292076803743839,0.0518602803349494,,
1104,mutag,binary,subgraphx,,,,,model,2.821426977176829,soft,17.08,0.6059216358269545,1.0,gat,100,mix,13.7854,,0.08,0.08,0.0329176783561706,0.0519852936267852,,
1105,mutag,binary,subgraphx,,,,,model,0.6931471805599458,soft,2.0,0.9527822246321612,1.0,gat,100,mix,13.7854,1.0,0.04,0.09,0.0116881914436817,0.0635218918323516,,
1106,mutag,binary,subgraphx,,,,,model,1.0986122886681082,soft,3.0,0.9291733369482424,1.0,gat,100,mix,13.7854,2.0,0.04,0.09,0.0149909257888793,0.062228474766016,,
1107,mutag,binary,subgraphx,,,,,model,1.3862943611198917,soft,4.0,0.9055644492643232,1.0,gat,100,mix,13.7854,3.0,0.05,0.09,0.0160632729530334,0.061988715082407,,
1108,mutag,binary,subgraphx,,,,,model,1.6094379124340994,soft,5.0,0.8819555615804052,1.0,gat,100,mix,13.7854,4.0,0.05,0.09,0.0169542487710714,0.0617484934628009,,
1109,mutag,binary,subgraphx,,,,,model,1.7917594692280547,soft,6.0,0.8583466738964854,1.0,gat,100,mix,13.7854,5.0,0.05,0.09,0.0175942927598953,0.0617532543838024,,
1110,mutag,binary,subgraphx,,,,,model,1.9443686422570423,soft,6.99,0.8351224015971828,1.0,gat,100,mix,13.7854,6.0,0.05,0.09,0.0197812933474779,0.0611496157944202,,
1111,mutag,binary,subgraphx,,,,,model,2.076564720955321,soft,7.98,0.8118981292978787,1.0,gat,100,mix,13.7854,7.0,0.05,0.09,0.0219461992383003,0.0591954886913299,,
1112,mutag,binary,subgraphx,,,,,model,2.1908142655420075,soft,8.95,0.7894476665223843,1.0,gat,100,mix,13.7854,8.0,0.06,0.09,0.0242517106235027,0.058016613125801,,
1113,mutag,binary,subgraphx,,,,,model,2.2930139657300983,soft,9.92,0.7669972037468901,1.0,gat,100,mix,13.7854,9.0,0.08,0.08,0.03110614977777,0.0534401834011077,,
1114,mutag,binary,subgraphx,,,,,model,2.382605534746164,soft,10.86,0.7457326384072936,1.0,gat,100,mix,13.7854,10.0,0.09,0.08,0.031479388475418,0.0533589646220207,,
1115,mutag,binary,subgraphx,,,,,model,2.722180973268806,soft,15.38,0.6439956328082894,1.0,gat,100,mix,13.7854,15.0,0.08,0.08,0.0332957915961742,0.0519689545035362,,
