dataset,threshold,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn3,0.5,random,100.0,1.0,0.009647886636304797,0.7708333333333331,0.004854325743921071,0.5072966112869198,0.0,0.0,-0.0008832907769829035,-0.0006609123665839434,0.4997185170650482,2541.43,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,0.5,sa_node,100.0,1.0,0.0030891883924228434,0.3275,0.0015519135174855523,0.0001600408755274129,0.0,0.0,-0.0040504406206309795,0.0181847233325243,0.0033976363483816385,5062.74,0.0056,5080.0,0.0006417322834645511,5076.74
syn3,0.5,subgraphx,100.0,1.0,0.7153553146603625,0.6099999999999999,0.9176751026751027,0.8048773734177214,0.0,0.0,0.01659732311964035,-0.0036949641071259975,0.9968740940093994,15.88,1.3316,5080.0,0.9768740157480325,15.88
syn3,0.8,distance,100.0,1.0,0.36211064425770295,0.22583333333333336,0.9563333333333334,0.5564444883966244,0.0,0.0,-0.002415922237560153,0.01837414689362049,0.999439001083374,2.85,0.0193,5080.0,0.009295275590551174,5032.78
syn3,0.8,gnnexplainer,100.0,1.0,0.5267258663329935,0.5358333333333334,0.6944101278638847,0.6733430165479958,0.0,0.0,0.0005528408219106495,0.004786047153174877,0.9763385653495789,120.2,3.9977,5080.0,0.9721535433070868,141.46
syn3,0.8,ig_node,100.0,1.0,7.880220646178092e-06,0.0008333333333333333,3.9588281868566905e-06,0.0009340387658227748,0.0,0.0,-0.003285554703325033,0.01837414689362049,0.006578742992132902,5046.58,0.1572,5080.0,0.0004921259842519365,5077.5
syn3,0.8,occlusion,100.0,1.0,0.4357755934616071,0.6666666666666667,0.39818852558096607,0.5843938719672996,0.0,0.0,-0.0039753844030201435,0.01837414689362049,0.6659350395202637,1697.05,0.3746,5080.0,0.06825984251968502,4733.24
syn3,0.8,pagerank,100.0,1.0,0.36211064425770295,0.22583333333333336,0.9563333333333334,0.6128929324894514,0.0,0.0,0.01837414689362049,-0.003908474463969469,0.9988778829574585,5.7,0.0317,5080.0,0.0006023622047243993,5076.94
syn3,0.8,pgmexplainer,100.0,1.0,0.309768631214202,0.21166666666666667,0.7580212427110454,0.6050941126054852,0.0,0.0,0.0014179700519889593,-0.0035781420301645994,0.9974843859672546,12.78,5.3993,5080.0,0.9258740157480316,376.56
syn3,0.8,random,100.0,1.0,0.009669758283632587,0.37166666666666665,0.004898649496152363,0.5044965140427213,0.0,0.0,-0.003033704124391079,0.007902312092483044,0.8004782795906067,1013.57,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,0.8,sa_node,100.0,1.0,7.870916961826054e-06,0.0008333333333333333,3.954132068011071e-06,0.0005597310126582145,0.0,0.0,-0.0031353842932730913,0.01837414689362049,0.005834649782627821,5050.36,0.0036,5080.0,0.0006456692913385675,5076.72
syn3,0.8,subgraphx,100.0,1.0,0.7153553146603625,0.6099999999999999,0.9176751026751027,0.8048773734177214,0.0,0.0,0.01661108061671257,-0.0036949641071259975,0.9968740940093994,15.88,1.0004,5080.0,0.9768740157480325,15.88
syn3,0.9,distance,100.0,1.0,0.36211064425770295,0.22583333333333336,0.9563333333333334,0.5564444883966244,0.0,0.0,-0.002415922237560153,0.01837414689362049,0.999439001083374,2.85,0.019,5080.0,0.009295275590551174,5032.78
syn3,0.9,gnnexplainer,100.0,1.0,0.546211320840372,0.5325000000000001,0.6945328387555171,0.6678829608386074,0.0,0.0,-0.002452437300235033,0.0006660723593086004,0.985677182674408,72.76,5.299,5080.0,0.9721535433070868,141.46
syn3,0.9,ig_node,100.0,1.0,0.0,0.0,0.0,0.0022982594936708776,0.0,0.0,-0.0030198770109564066,0.01837414689362049,0.009299215860664845,5032.76,0.2019,5080.0,0.0004921259842519365,5077.5
syn3,0.9,occlusion,100.0,1.0,0.3730604855033354,0.55,0.3827920911876525,0.5160033458597046,0.0,0.0,-0.0037018144503235817,0.01837414689362049,0.6666633486747742,1693.35,0.3658,5080.0,0.06825984251968502,4733.24
syn3,0.9,pagerank,100.0,1.0,0.3158551497522085,0.19333333333333336,0.9588333333333334,0.5966444158755274,0.0,0.0,0.011951187625527382,-0.003996653016656637,0.9990354180335999,4.9,0.0289,5080.0,0.0006023622047243993,5076.94
syn3,0.9,pgmexplainer,100.0,1.0,0.1997161022156378,0.12,0.8088882783882783,0.5597898536392405,0.0,0.0,-0.0014646333875134587,-0.002524539828300476,0.9990116357803345,5.02,7.4044,5080.0,0.9254842519685043,378.54
syn3,0.9,random,100.0,1.0,0.009223213791997859,0.19,0.004726533872642654,0.4988236748417723,0.0,0.0,-0.0023810071870684624,0.011092052794992924,0.8997677564620972,509.18,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,0.9,sa_node,100.0,1.0,0.0,0.0,0.0,0.001461629746835431,0.0,0.0,-0.002939165337011218,0.01837414689362049,0.007633864413946867,5041.22,0.0036,5080.0,0.0006456692913385675,5076.72
syn3,0.9,subgraphx,100.0,1.0,0.7153553146603625,0.6099999999999999,0.9176751026751027,0.8048773734177214,0.0,0.0,0.01661108061671257,-0.0036949641071259975,0.9968740940093994,15.88,0.8576,5080.0,0.9768740157480325,15.88
syn4,0.5,distance,100.0,1.0,0.4872222222222223,0.3333333333333334,0.9233333333333333,0.583273562023562,0.77,1.0,0.6813338398933411,0.9844945669174194,0.9988482594490051,2.23,0.0075,1936.0,0.004979338842975205,1926.36
syn4,0.5,gnnexplainer,100.0,1.0,0.6369847423818011,0.6483333333333334,0.650203823953824,0.7037922297297297,0.93,0.98,0.8969695568084717,0.9532235860824585,0.9959504008293152,7.84,3.9471,1936.0,0.9898863636363642,19.58
syn4,0.5,ig_node,100.0,1.0,0.8080189810189811,0.7883333333333334,0.850547619047619,0.8938911988911987,1.0,0.55,0.9844945669174194,0.6426201462745667,0.9941632747650146,11.3,0.1493,1936.0,0.35747933884297495,1243.92
syn4,0.5,occlusion,100.0,1.0,0.41910180138483427,0.72,0.5643533274494819,0.5755448717948718,1.0,0.75,0.9844280481338501,0.7409836649894714,0.5709452629089355,830.65,0.0601,1936.0,0.0010743801652892315,1933.92
syn4,0.5,pagerank,100.0,1.0,0.682949494949495,0.59,0.8273333333333334,0.7948094248094244,1.0,1.0,0.9844945669174194,0.9690840840339661,0.9955991506576538,8.52,0.0146,1936.0,0.0012086776859503957,1933.66
syn4,0.5,pgmexplainer,100.0,1.0,0.8205623561165359,1.0,0.7063323343323343,0.9999125086625087,1.0,0.0,0.9844945669174194,0.009047764353454113,0.990878164768219,17.66,4.6873,1936.0,0.985082644628099,28.88
syn4,0.5,random,100.0,1.0,0.012923796774190482,0.7866666666666668,0.0065154359269678445,0.5116382969507969,0.97,0.97,0.9434748888015747,0.9388235211372375,0.5007386207580566,966.57,0.0,1936.0,0.0005165289256198191,1935.0
