dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn1,False,False,0.99,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.404,0.738,0.3513100504875183,0.653333431482315,0.9900243282318115,41.0,4100.994000000001,8.300095441333553,0.8710886597790987,41.0,3.70973025382793,0.8838293928124621,0.58609,4110.0,0.002191240875912398,4100.994000000001
syn1,False,False,0.99,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.756,0.163,0.6353205919265748,0.14992741122841835,0.9900243282318115,41.0,2999.4900000000002,6.3512102193458455,0.0010065864767167848,41.0,3.205393369767762,0.08012721733065345,0.02522,4110.0,0.27019708029197076,2999.4900000000002
syn1,False,False,0.99,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.702,0.306,0.5878669440746307,0.2891440913081169,0.9903403878211975,39.701,717.55,5.654700750232546,0.2522324544548111,39.701,3.622632978997548,0.5751939015360484,3.3795200000000003,4110.0,0.8254136253041361,717.55
syn1,False,False,0.99,random,100.0,-1.0,-1.0,-1.0,-1.0,0.257,0.79,0.24499299377202988,0.7068575143814086,0.9900243282318115,41.0,4104.824,8.127549676648997,0.47130801128902167,41.0,3.7135677283978716,0.9932611038063257,0.0001,4110.0,0.001259367396593681,4104.824
syn1,False,False,0.99,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.081,0.923,0.0649054798297584,0.7699504017829895,0.9900243282318115,41.0,4008.4,8.165355447839499,0.8800923276954447,41.0,3.683747972990529,0.9071656669448614,0.00366,4110.0,0.024720194647201925,4008.4
syn1,False,False,0.997,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.296,0.6839999999999999,0.2650232583284378,0.6249876856803894,0.9970800876617432,12.0,240.33200000000002,3.3560890790381857,0.2928517929200575,12.0,2.2032486727042304,0.8339030512214883,3.23245,4110.0,0.9415250608272506,240.33200000000002
syn1,False,False,0.997,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.489,0.625,0.44344876110553744,0.57521293759346,0.9970800876617432,12.0,4058.193,8.182582653402623,0.07770348901801463,12.0,2.3789503433022436,0.40991190476190453,0.01311,4110.0,0.012605109489051086,4058.193
syn1,False,False,0.997,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.309,0.673,0.2740611359477043,0.6211422622203827,0.9970800876617432,12.0,240.33200000000002,3.3496759311715607,0.2985798148790657,12.0,2.1973796912658274,0.8307140306040848,3.24328,4110.0,0.9415250608272506,240.33200000000002
syn1,False,False,0.997,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.269,0.812,0.2110537603497505,0.6783362686634063,0.9970800876617432,12.0,3858.65,7.9937924808902014,0.6033893491060536,12.0,2.469554278262977,0.797926957628525,0.19964,4110.0,0.06115571776155711,3858.65
syn1,False,False,0.997,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.404,0.737,0.35104440748691557,0.6529964327812194,0.9970800876617432,12.0,4100.994000000001,8.300095441428002,0.8710886596717881,12.0,2.4770967347576054,0.884042622211908,0.62617,4110.0,0.002191240875912398,4100.994000000001
syn1,False,False,0.997,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.754,0.173,0.6330415070056915,0.16477459892630578,0.9970800876617432,12.0,2999.4900000000002,6.3512102193458455,0.0010065864767167848,12.0,2.452697744376177,0.5681853725740501,0.02241,4110.0,0.27019708029197076,2999.4900000000002
syn1,False,False,0.997,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.625,0.426,0.530873566865921,0.3947725296020508,0.9970800876617432,12.0,717.55,5.654700750232546,0.2522324544548111,12.0,2.4782412264981355,0.8247965031702341,3.28576,4110.0,0.8254136253041361,717.55
syn1,False,False,0.997,random,100.0,-1.0,-1.0,-1.0,-1.0,0.254,0.792,0.24167467802762985,0.7086679399013519,0.9970800876617432,12.0,4104.824,8.127549676648997,0.47130801128902167,12.0,2.4849062386488723,0.9978797656166707,9e-05,4110.0,0.001259367396593681,4104.824
syn1,False,False,0.997,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.06999999999999999,0.9189999999999999,0.06232768716290593,0.7690510630607605,0.9970800876617432,12.0,4008.4,8.16535544127031,0.8800923276992835,12.0,2.4810104046247936,0.9420875720840287,0.0034799999999999996,4110.0,0.024720194647201925,4008.4
